page,2019-02 pi,2019-02 v,2019-03 pi,2019-03 v,2019-04 pi,2019-04 v,2019-05 pi,2019-05 v,2019-06 pi,2019-06 v,2019-07 pi,2019-07 v,2019-08 pi,2019-08 v,2019-09 pi,2019-09 v,2019-10 pi,2019-10 v,2019-11 pi,2019-11 v,2019-12 pi,2019-12 v,2020-01 pi,2020-01 v,2020-02 pi,2020-02 v,2020-03 pi,2020-03 v,2020-04 pi,2020-04 v,2020-05 pi,2020-05 v,2020-06 pi,2020-06 v,2020-07 pi,2020-07 v,2020-08 pi,2020-08 v,2020-09 pi,2020-09 v,2020-10 pi,2020-10 v,2020-11 pi,2020-11 v,2020-12 pi,2020-12 v,2021-01 pi,2021-01 v,2021-02 pi,2021-02 v,2021-03 pi,2021-03 v,2021-04 pi,2021-04 v
flächennutzung-stadtstruktur-2010-und-versiegelung-2011-umweltatlas-wfs-0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsräumen-am-31122011,,,1,1,,,,,,,1,1,1,1,,,1,1,,,,,1,1,1,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1
digitale-farbige-trueorthophotos-2020-truedop20rgb-sommerbefliegung-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
geothermisches-potenzial-spezifische-entzugsleistung-bis-100-m-für-2400-ha-wms,,,,,,,,,,,,,,,2,1,3,1,2,1,,,,,2,1,1,1,1,1,1,1,,,3,1,2,2,,,1,1,,,,,,,,,,,1,1
teilnehmerzahlen-am-religions-und-weltanschauungsunterricht,1,1,2,2,3,3,2,2,1,1,,,1,1,2,2,,,2,2,2,2,3,2,2,2,10,6,,,2,1,,,2,2,1,1,3,2,,,2,2,,,2,2,1,1,3,3,1,1
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-11,1,1,,,3,3,,,,,1,1,1,1,2,2,3,3,5,5,,,1,1,1,1,2,2,2,2,1,1,,,1,1,,,2,2,,,,,,,,,,,,,1,1
alters-und-bestandesstruktur-der-wälder-forstbetriebskarte-2014-umweltatlas-wfs,1,1,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
mokib-modulare-kita-bauten-für-berlin-wfs,1,1,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
geologische-skizze-umweltatlas-wfs,,,,,,,,,,,,,1,1,,,1,1,1,1,,,1,1,1,1,2,2,4,4,2,2,4,4,3,2,1,1,1,1,,,,,,,,,,,,,1,1
baufertigstellungen-2012-2019-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,23,21,3,3,2,1,10,8,9,6,4,3,1,1
art-der-kanalisation-2017-umweltatlas-wfs,,,,,,,,,,,,,3,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1
grundwasserabhängige-ökosysteme-umweltatlas-wms,,,,,,,,,,,,,1,1,1,1,,,,,,,,,2,2,2,2,1,1,3,3,1,1,1,1,,,5,2,,,,,,,,,,,2,2,1,1
geometrien-der-wahlbezirke-für-die-wahl-zum- abgeordnetenhaus-von-berlin-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
standardlastprofil-haushalt-2018-berlin,5,5,11,10,2,2,3,3,2,2,2,2,5,3,8,7,6,6,5,5,4,4,5,4,2,2,3,2,2,2,7,7,1,1,4,2,8,2,1,1,,,,,3,2,1,1,1,1,,,1,1
grundwasserabhängige-ökosysteme-umweltatlas-wfs,,,,,,,,,,,,,1,1,,,2,2,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-327-krankenhausfälle-nach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2005-wms,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
beteiligungsdatenbank-des-landes-berlin,,,,,,,,,,,,,,,,,,,16,14,15,13,8,8,1,1,2,2,3,3,10,10,3,3,1,1,,,1,1,9,5,19,17,1,1,2,2,1,1,5,5,1,1
energieverbrauchsdaten-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,10,10,4,4,5,5,7,5,9,3,11,7,2,2,3,3,3,3,2,2,1,1,1,1,1,1
stadtstruktur-flächentypen-differenziert-2005-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1
modulare-ergänzungsbauten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,5,5,4,3,7,5,7,6,3,3,,,1,1,2,2,,,,,1,1
flurstücke-im-inspire-datenmodell-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
wahlen-berlin-2011-abgeordnetenhaus-und-bezirksverordnetenversammlungen-endgültiges,,,,,,,1,1,1,1,3,3,7,5,1,1,,,,,,,3,2,6,3,1,1,1,1,1,1,2,2,1,1,14,5,16,6,2,2,1,1,2,2,1,1,1,1,,,1,1
wohnatlas-2019-daten-wfs,,,,,,,,,,,,,4,4,11,9,19,17,18,16,12,12,26,25,24,23,36,35,36,34,34,29,19,17,15,11,37,19,20,12,6,6,8,8,14,10,3,3,4,3,10,7,1,1
archäologische-fundstellen-und-bodendenkmale-aisber-wfs,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,3,3,3,3,3,3,5,2,,,,,4,3,1,1,,,,,1,1,1,1
geologische-bohrdaten-wms,1,1,8,4,6,5,2,2,,,,,,,,,,,,,,,,,,,1,1,5,4,7,5,,,,,,,,,,,,,,,,,,,,,1,1
atkis-landwirtschaft-fläche-wfs,,,,,,,,,,,,,,,1,1,12,11,21,20,2,2,2,2,,,1,1,,,,,6,5,8,6,10,5,,,,,1,1,,,2,1,4,3,,,1,1
summenlast-nicht-leistungsgemessene-kunden-2013-berlin,,,,,2,2,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1
fnp-flächennutzungsplan-berlin-stand-neubekanntmachung-2015-wms,,,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
klimamodell-berlin-kaltluftvolumenstrom-am-abend-2200-uhr-2001-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
daten-zur-arbeitslosigkeit-1995-2016,3,3,1,1,3,3,,,6,5,3,2,3,3,1,1,2,2,8,6,3,3,5,5,3,3,6,4,1,1,3,3,7,5,2,2,3,1,,,4,4,1,1,,,1,1,,,,,1,1
entsiegelungspotenziale-umweltatlas-wms,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
digitale-farbige-orthophotos-2019-dop20rgb-wms-1,,,,,,,,,,,,,42,31,57,51,50,46,65,59,60,55,99,81,84,73,102,85,120,107,133,119,114,98,165,112,251,102,157,78,46,38,35,32,11,10,17,12,12,10,8,8,1,1
träger-von-kindertagesstätten-marzahn-hellersdorf,2,2,,,1,1,2,2,2,2,,,3,3,4,4,3,2,3,2,8,8,8,7,3,2,1,1,,,,,,,,,3,2,4,3,,,,,1,1,,,,,,,1,1
detailnetz-berlin-wms,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
reale-nutzung-und-vegetationsbedeckung-2015-umweltatlas-wms-2,,,,,,,,,,,,,4,4,1,1,2,2,2,2,2,2,,,1,1,,,1,1,3,3,1,1,4,1,7,2,6,5,3,3,2,2,,,2,2,1,1,,,1,1
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122014,1,1,1,1,5,5,17,16,,,1,1,4,4,,,3,3,1,1,1,1,2,2,1,1,,,,,,,2,2,1,1,,,3,1,,,,,1,1,1,1,,,1,1,1,1
doppelhaushalt-20182019,24,23,18,17,3,3,5,5,10,9,2,2,5,3,5,5,6,6,4,4,4,4,5,5,6,5,5,5,3,3,4,4,4,4,12,8,7,3,1,1,,,6,5,,,2,2,,,1,1,1,1
übersicht-der-coworking-spaces-berlin,,,96,81,14,13,12,9,16,8,1,1,6,6,3,3,9,9,9,9,6,6,5,4,8,8,2,2,6,5,2,2,3,3,4,4,7,4,2,2,1,1,2,2,,,,,,,,,1,1
straßenbefahrung-2014-mast-lichtsignalanlage-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,,,,,,,,,,,,,,,,,1,1
atkis-bahnverkehrsanlage-punkte-wfs,,,,,,,,,,,,,1,1,5,4,11,9,15,14,6,6,5,5,1,1,,,3,2,,,4,4,,,,,1,1,,,6,2,1,1,,,1,1,1,1,1,1
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2005-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-kontext-bezirke-sonderauswertung-2018,,,1,1,,,,,,,,,,,1,1,,,2,2,,,,,4,3,,,2,2,1,1,,,,,,,,,,,1,1,,,,,,,,,1,1
berlin-um-1850-atom-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,9,3,3,6,6,2,2,2,2,1,1,,,1,1
übersichtskarte-von-berlin-1-50-000-ük50-sw-kombi-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-bösartige,1,1,4,3,,,1,1,,,1,1,,,,,1,1,1,1,1,1,,,1,1,1,1,,,3,3,1,1,2,1,,,,,2,2,1,1,1,1,1,1,,,,,1,1
bebauungsplansuche-zu-ihrem-grundstück,2,2,4,3,2,2,3,3,4,4,4,2,,,,,4,4,5,5,2,2,,,1,1,2,2,28,25,4,4,3,3,3,2,7,2,8,5,3,2,1,1,3,2,,,2,2,4,4,1,1
eintrittspreisregelungen-öffentlich-geförderter-berliner-kultureinrichtungen,1,1,5,5,3,3,2,2,2,2,2,2,1,1,1,1,4,4,7,7,1,1,2,2,6,6,5,5,5,5,2,2,3,3,1,1,,,5,3,,,,,,,,,1,1,1,1,1,1
landesentwicklungsplan-hauptstadtregion-berlin-brandenburg-lep-hr-hauptkarte-wms,,,,,,,,,,,7,7,1,1,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-diskussionspapiere,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1
straßenbaumpflanzungen-steglitz-zehlendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,9,9,11,10,10,9,7,7,11,4,8,4,1,1,5,3,3,3,,,2,2,3,2,1,1
hobrechtplan-1862-wms-2,,,,,,,,,,,,,1,1,1,1,1,1,2,2,,,1,1,,,1,1,2,2,4,3,1,1,,,,,4,2,1,1,,,,,1,1,,,,,1,1
gesundheitsberichterstattung-berlin-kontext-sozialstrukturatlas-berlin-2008,,,1,1,,,1,1,,,,,1,1,1,1,,,1,1,,,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1
einzugsgebiete-der-regenwasserkanalisation-differenziert-2005-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
straßenverkehrslärm-tag-6-22-uhr-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-89-ärztinnen-und-ärzte,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
berlin-um-1910-atom-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8,9,8,4,4,,,7,7,5,5,1,1,1,1
versiegelung-2016-unkorrigierte-versiegelungsgrade-rasterdaten-atom,,,,,,,,,,,,,,,,,,,,,4,4,3,3,1,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-717-beteiligung-am-gesundheits,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
solaranlagen-installierte-pv-leistung-pro-bezirk-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,1,1
einwohnerdichte-2012-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
straßenbefahrung-2014-fahrradständer-wfs-0,,,,,,,,,,,,,,,2,2,2,1,12,8,8,5,4,3,1,1,1,1,,,,,5,4,1,1,,,2,2,,,3,2,,,,,2,2,1,1,1,1
standorte-berliner-feuerwehr-wfs,,,,,,,,,,,,,,,12,10,3,3,3,2,2,2,2,2,1,1,,,6,6,1,1,3,3,2,2,6,2,1,1,,,1,1,1,1,,,1,1,3,2,1,1
strat-lärmkarte-fassadenpegel-gesamtlärm-lden-tag-abend-nacht-2017-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,3,,,,,2,1,1,1,5,2,,,,,,,,,,,,,1,1,1,1
bruttowertschöpfung,,,,,2,2,1,1,,,,,,,,,1,1,2,2,2,1,5,5,1,1,1,1,4,3,3,2,1,1,3,2,5,2,4,2,3,3,4,4,1,1,2,2,,,,,1,1
trinkbrunnen-im-bezirk-friedrichshain-kreuzberg,,,,,,,,,14,11,65,61,28,23,32,29,6,6,6,5,3,2,2,2,5,5,1,1,2,2,5,5,18,15,32,15,17,6,9,4,5,4,4,4,4,4,1,1,2,2,1,1,1,1
digitale-farbige-orthophotos-2019-dop20rgb-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,16,15,23,21,13,10,1,1
wasserhaushalt-ohne-versiegelung-2017-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,1,1
liste-der-h,,,2,2,,,8,4,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1
geplante-bodennutzung-im-inspire-datenmodell-flächennutzungsplan-berlin-2015-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,1,1,1,1
klimamodell-berlin-bodennahes-windfeld-und-luftaustausch-am-morgen-0600-uhr-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
atkis®-dgm-digitales-geländemodell-wms-1,,,,,,,,,,,,,6,6,17,15,32,27,46,37,8,8,17,14,28,25,36,32,35,28,26,23,21,16,54,28,48,20,91,27,12,10,16,14,9,9,6,5,6,4,5,5,1,1
postleitzahlen-wfs-2,,,,,,,,,,,,,4,3,4,4,37,36,6,6,5,4,6,6,6,6,5,4,8,8,4,4,8,7,8,7,,,6,4,,,7,3,5,3,3,2,7,6,4,3,1,1
20-grüne-hauptwege-wanderkarte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,3,,,,,1,1,2,2,,,,,,,3,3,1,1
atkis-fläche-besonderer-funktionaler-prägung-geschlossen-fläche-wfs,,,,,,,,,,,,,,,,,3,3,2,2,1,1,1,1,4,4,4,4,3,3,1,1,3,3,7,6,3,3,,,1,1,,,1,1,1,1,2,2,2,2,1,1
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-ausgewählte-im,,,,,3,3,1,1,,,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1
berlin-um-1940-atom-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,11,8,15,13,10,9,14,13,14,14,5,5,1,1
package_show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
geometrien-der-bundestagswahlkreise-2013-berlin,,,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,3,3,1,1,4,3,1,1,2,2,1,1,3,2,5,4,5,4,1,1,2,1,4,3,1,1,,,,,,,2,2,1,1
sozialstatistisches-berichtswesen-berlin-bundessozialhilfegesetz-bshg-bis-2004-hilfe-0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122008,,,1,1,1,1,1,1,,,3,3,4,4,,,,,,,1,1,1,1,3,2,2,2,2,2,1,1,2,2,2,1,,,,,,,,,,,,,,,,,1,1
auslastung-der-beherbergungsbetriebe-oktober-2017,7,7,8,8,7,6,6,6,,,3,3,6,5,5,5,6,6,9,8,3,3,9,8,3,3,2,2,5,5,5,5,1,1,3,3,21,7,10,5,7,6,2,2,1,1,2,2,1,1,4,4,1,1
kleingartenbestand-berlin-wms,4,3,5,5,1,1,4,4,1,1,,,3,3,2,2,1,1,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,1,1
digitale-topographische-karte-1-100-000-dtk100-wms-2,,,,,,,,,,,,,,,2,2,2,2,1,1,2,2,2,2,2,2,4,4,3,3,1,1,5,4,7,3,5,1,3,1,2,2,1,1,,,,,,,,,1,1
standardlastprofil-landwirtschaftsbetriebe-2018-berlin,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-spielplätze-wfs-4,,,,,,,,,,,,,,,,,1,1,,,,,6,5,1,1,1,1,1,1,56,44,4,4,2,2,12,4,20,9,6,5,3,3,,,,,,,3,2,1,1
geologische-skizze-umweltatlas-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,1,1
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-personal-apotheken,,,,,,,,,1,1,1,1,,,,,,,,,1,1,,,,,2,2,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1
straßenbefahrung-2014-radweg-wfs-0,,,,,,,,,,,,,,,5,5,1,1,1,1,5,5,2,2,4,3,,,1,1,,,5,5,7,5,1,1,2,2,1,1,1,1,,,,,4,4,,,1,1
bundestagswahl-2013-berlin-nach-wahlbezirken-endgültiges-ergebnis,3,3,6,6,2,2,213,206,21,21,11,10,23,19,3,3,6,5,9,7,6,5,7,6,3,3,6,6,8,6,4,4,3,3,2,2,24,11,29,11,4,4,,,1,1,1,1,,,,,1,1
wohnlagen-zum-berliner-mietspiegel-2017-wfs,,,1,1,,,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
openstreetmap6daten6für6berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
rbs-ortsteile-dezember-2016,2,2,7,6,5,5,11,9,5,4,7,7,,,2,1,3,3,,,,,,,4,4,3,3,1,1,3,2,1,1,8,4,,,6,3,,,,,4,4,3,2,8,7,6,5,1,1
altersarmut-2018-v2-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
verkehrsbedingte-emissionen-2015-umweltatlas-wms,,,,,,,,,,,,,1,1,2,2,1,1,10,6,1,1,1,1,3,3,4,1,,,2,2,1,1,,,1,1,13,4,3,3,,,1,1,,,,,,,1,1
umweltzone-wfs,,,1,1,3,3,12,8,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
klimamodell-berlin-entwicklung-der-anzahl-der-sommertage-der-zukunft-2015-umweltatlas,,,,,,,,,,,,,,,,,,,3,2,1,1,,,2,2,,,,,,,3,2,,,3,1,,,,,,,,,2,1,,,2,2,1,1
atkis-basis-dlm-präsentationsdienst-wms-1,,,,,,,,,,,,,2,2,1,1,2,2,4,4,1,1,1,1,9,9,17,13,6,4,8,6,7,7,6,5,13,10,10,5,8,8,14,12,7,6,1,1,1,1,4,4,1,1
gesundheitsberichterstattung-berlin-statistische-kurzinformationen-schwangerenbetreuung,,,,,,,1,1,,,2,1,1,1,1,1,1,1,1,1,,,2,1,,,,,,,,,,,,,,,,,,,,,1,1,,,3,3,,,1,1
wasserversorgung-der-böden-2015-umweltatlas-wms,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1
digitale-farbige-orthophotos-2007-dop20rgb-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
grundwasserneubildung-2012-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1
zu-erwartender-mittlerer-höchster-grundwasserstand-zemhgw-flurabstand-umweltatlas-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,5,5,1,1,1,1
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2010-wms-2,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,,,2,2,2,2,1,1,1,1,3,3,1,1,,,4,3,2,1,,,1,1,1,1,1,1,1,1
wanderungssaldo-2017-2018-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1
klimamodell-berlin-bodennahes-windfeld-und-luftaustausch-am-abend-2200-uhr-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1
alkis-berlin-besondere-flurstücksgrenzen-wfs,,,,,,,,,,,,,3,3,5,5,3,3,4,4,5,4,4,4,3,3,4,4,1,1,3,3,3,3,1,1,3,2,1,1,1,1,1,1,5,4,,,1,1,2,1,1,1
liste-der-häufigen-vornamen-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,1,1,1,1
strat-lärmkarte-ln-nacht-index-straßen-u-bahnverkehr-2017-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,2,1,1
aktuelle-kamerale-monatsschreibung-des-bezirks-friedrichshain-kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,1,1
blockkarte-1-50000-isu50-raumbezug-umweltatlas-2015-wms-3,,,,,,,,,,,,,3,3,3,2,3,3,6,5,4,3,6,5,6,5,3,3,3,3,13,12,3,3,17,12,15,9,18,11,16,15,4,4,9,7,7,7,7,6,6,5,1,1
suche-von-förderprogrammen-projekten-und-wettbewerben,,,11,9,27,26,2,2,,,2,2,,,,,2,2,3,3,2,2,1,1,1,1,,,,,,,,,,,,,2,2,,,,,1,1,,,,,,,1,1
sozialstatistisches-berichtswesen-berlin-asylbewerberleistungsgesetz-asylblg,3,3,2,2,6,6,2,2,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,,2,2,1,1,1,1,1,1,2,1,,,,,,,4,4,1,1,,,1,1,1,1
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-ausgewählte-im-0,,,,,,,,,,,,,,,,,,,,,,,,,,,150,144,1,1,1,1,1,1,,,,,,,,,,,1,1,,,,,1,1,1,1
arbeitslosigkeit-2018-v2-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2007-wms-0,,,,,,,,,,,,,,,,,,,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
berlin-um-1650-atom-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,27,3,3,3,3,,,1,1,,,,,1,1
sportangebote-marzahn-hellersdorf,10,10,4,4,4,4,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1
afis-berlin-schwerefestpunkte-1-ordnung-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
alkis-berlin-vegetation-punkte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
energieverbrauchsübersicht-bezirklicher-gebäude-2017-bezirk-friedrichshain-kreuzberg,33,26,14,14,6,5,4,4,9,8,8,6,14,11,8,7,12,9,10,10,17,17,19,12,5,5,4,4,1,1,2,2,3,3,1,1,9,3,,,,,2,2,,,4,3,,,2,2,1,1
grundwasserneubildung-2017-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,2,,,3,2,,,,,,,,,1,1,4,3,,,1,1
archäologische-fundstellen-und-bodendenkmale-aisber-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
einschulbereiche-geometrien-schuljahr-20182019,45,38,108,90,63,52,40,31,24,14,16,13,12,10,10,10,9,9,15,11,5,4,4,4,1,1,2,2,11,7,4,4,6,6,17,10,38,16,9,5,,,,,1,1,,,1,1,,,1,1
energieverbräuche-energieverbrauch-fernwärme-pro-postleitzahl-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,2,2,,,10,6,1,1,,,,,,,,,1,1,1,1
windkraft-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,3,,,2,2,,,,,,,1,1,,,3,3,1,1,1,1
strat-lärmkarte-fassadenpegel-lärmbeeinflußten-wohngebäuden-2017-ua-atom-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,1,1,1
wohnlagen-zum-berliner-mietspiegel-2017-wfs-2,,,,,,,,,,,,,,,2,2,1,1,,,,,2,1,2,2,1,1,,,1,1,,,2,1,,,,,,,1,1,1,1,,,,,,,1,1
bodenrichtwerte-31121992-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1
sozialstatistisches-berichtswesen-berlin-jahresstatistiken-zu-den-eckzahlen-und-1,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,1,1
ausländische-transferbeziehende-sgb-ii-2014-v-2-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1
stadtstruktur-flächentypen-differenziert-2015-umweltatlas-wms-3,,,,,,,,,,,,,,,,,2,2,5,5,1,1,,,2,2,,,,,2,2,,,2,2,5,1,1,1,,,1,1,4,4,,,2,1,,,1,1
